                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     95,                0.92073,                0.59034,                 1.0174,                0.83438,                0.70851,                0.79201,                0.44006,                 1.6424,                 0.9715,                 1.3799,              0.0010793,              0.0010793,              0.0010793
                     96,                0.91148,                0.60092,                 1.0389,                 0.7528,                 0.8125,                0.80161,                0.43576,                 1.6241,                 1.0768,                 1.3881,              0.0010694,              0.0010694,              0.0010694
                     97,                0.90294,                0.59488,                 0.9805,                0.79946,                   0.75,                0.79442,                0.40521,                 1.6481,                0.99274,                 1.4162,              0.0010595,              0.0010595,              0.0010595
                     98,                0.89628,                0.56566,                 0.9945,                0.86687,                0.71227,                0.83057,                0.42116,                 1.6537,                0.92843,                 1.4128,              0.0010496,              0.0010496,              0.0010496
                     99,                0.90212,                0.55951,                0.98423,                 0.8384,                0.72965,                0.81559,                0.43074,                 1.6932,                0.96767,                 1.4168,              0.0010397,              0.0010397,              0.0010397
                    100,                0.91125,                0.56783,                 1.0001,                0.77158,                0.76562,                0.78335,                0.41189,                 1.6524,                0.99029,                 1.4018,              0.0010298,              0.0010298,              0.0010298
                    101,                0.88682,                0.56665,                0.98433,                0.81058,                0.82812,                0.82029,                0.42303,                 1.6482,                0.95074,                 1.4147,              0.0010199,              0.0010199,              0.0010199
                    102,                0.91674,                0.55278,                0.98584,                0.82122,                 0.8125,                0.83271,                0.44748,                 1.5911,                0.88969,                 1.4066,                0.00101,                0.00101,                0.00101
                    103,                 0.9163,                0.56771,                 1.0059,                0.84158,                 0.8125,                0.87655,                0.46053,                 1.5837,                0.88494,                 1.3891,              0.0010001,              0.0010001,              0.0010001
                    104,                0.88807,                0.54542,                 0.9919,                0.77531,                 0.8125,                0.82889,                0.43469,                   1.63,                0.90584,                 1.4239,              0.0009902,              0.0009902,              0.0009902
                    105,                 0.9083,                0.56171,                0.98222,                0.77594,                 0.8117,                0.82275,                0.41408,                 1.6806,                0.90469,                 1.4476,              0.0009803,              0.0009803,              0.0009803
                    106,                0.82392,                 0.5407,                0.96848,                0.77981,                0.79688,                0.80156,                0.40705,                 1.6469,                0.90471,                 1.4243,              0.0009704,              0.0009704,              0.0009704
                    107,                0.88073,                0.56795,                0.98133,                0.79661,                0.78125,                0.80025,                0.40276,                 1.6337,                 0.9756,                 1.4029,              0.0009605,              0.0009605,              0.0009605
                    108,                0.86577,                 0.5392,                 0.9596,                0.81581,                0.85938,                0.84272,                0.42424,                 1.6047,                0.92193,                 1.4444,              0.0009506,              0.0009506,              0.0009506
                    109,                0.91341,                0.60235,                0.98538,                0.79204,                 0.8125,                0.83562,                0.41576,                 1.6071,                0.91641,                 1.4685,              0.0009407,              0.0009407,              0.0009407
                    110,                 0.8383,                0.52451,                0.96252,                0.82009,                0.79688,                 0.7872,                0.39931,                 1.6456,                0.95833,                 1.4563,              0.0009308,              0.0009308,              0.0009308
                    111,                0.83174,                0.52293,                0.95759,                0.82272,                  0.875,                0.81862,                0.42856,                 1.6371,                0.97643,                 1.4627,              0.0009209,              0.0009209,              0.0009209
                    112,                0.81479,                0.51969,                0.96154,                0.82178,                 0.8646,                 0.8353,                0.44212,                 1.5725,                0.97225,                 1.4452,               0.000911,               0.000911,               0.000911
                    113,                0.86346,                0.53863,                0.98028,                0.76617,                0.82812,                  0.766,                0.42069,                 1.5933,                0.94182,                 1.4435,              0.0009011,              0.0009011,              0.0009011
                    114,                0.82123,                0.51648,                0.98393,                0.87073,                0.73676,                0.80992,                0.43245,                  1.602,                0.96017,                 1.4592,              0.0008912,              0.0008912,              0.0008912
                    115,                0.87996,                0.51974,                 0.9906,                0.79764,                0.82812,                0.81628,                0.43728,                 1.6094,                0.95334,                 1.4362,              0.0008813,              0.0008813,              0.0008813
                    116,                0.82171,                0.52348,                0.93619,                0.79833,                0.76562,                0.79077,                0.41717,                 1.6396,                0.98153,                 1.4451,              0.0008714,              0.0008714,              0.0008714
                    117,                0.78299,                0.49535,                0.94558,                0.81423,                0.82188,                0.81122,                0.44303,                 1.5736,                0.88889,                 1.4126,              0.0008615,              0.0008615,              0.0008615
                    118,                0.79632,                 0.4946,                0.93386,                0.83341,                0.78167,                0.80724,                0.45722,                 1.5706,                0.89378,                 1.4245,              0.0008516,              0.0008516,              0.0008516
                    119,                0.78887,                0.50228,                0.95153,                0.81298,                0.78125,                0.79146,                 0.4172,                 1.6549,                 0.9536,                  1.427,              0.0008417,              0.0008417,              0.0008417
                    120,                0.80662,                0.52882,                0.95434,                0.79015,                0.82812,                0.77845,                0.42046,                 1.6617,                 1.0091,                 1.4166,              0.0008318,              0.0008318,              0.0008318
                    121,                0.85284,                0.51536,                0.96522,                0.77996,                0.84375,                 0.8077,                0.44793,                 1.6102,                0.97381,                 1.3789,              0.0008219,              0.0008219,              0.0008219
                    122,                0.77371,                 0.4901,                0.94593,                0.85095,                0.82812,                0.83328,                 0.4438,                 1.6013,                0.92798,                 1.4232,               0.000812,               0.000812,               0.000812
                    123,                0.77199,                0.47807,                0.92679,                0.86878,                0.82758,                0.83213,                0.43631,                 1.5744,                0.89376,                 1.4143,              0.0008021,              0.0008021,              0.0008021
                    124,                0.85353,                0.49802,                0.96499,                0.85705,                0.84312,                0.84067,                0.43422,                 1.5745,                0.92833,                 1.4094,              0.0007922,              0.0007922,              0.0007922
                    125,                0.86737,                0.51624,                0.96688,                0.85281,                0.82812,                0.84834,                0.44099,                 1.5922,                0.96019,                 1.4073,              0.0007823,              0.0007823,              0.0007823
                    126,                 0.8166,                0.49596,                0.96772,                0.85363,                   0.75,                0.77136,                0.41041,                 1.6098,                  1.005,                 1.3881,              0.0007724,              0.0007724,              0.0007724
                    127,                0.79463,                 0.5145,                0.94446,                0.83161,                0.73438,                0.75136,                0.39691,                 1.6638,                 1.0731,                 1.4466,              0.0007625,              0.0007625,              0.0007625
                    128,                 0.7815,                0.49599,                0.95919,                0.83655,                0.71875,                0.76949,                0.40553,                 1.6594,                 1.0551,                 1.4871,              0.0007526,              0.0007526,              0.0007526
                    129,                0.81898,                 0.4917,                0.94163,                0.92968,                0.70312,                0.77978,                0.43287,                 1.6167,                  1.063,                 1.4721,              0.0007427,              0.0007427,              0.0007427
                    130,                0.80024,                0.49484,                  0.932,                0.89216,                0.73438,                0.80539,                0.42863,                 1.6044,                 1.0312,                 1.4573,              0.0007328,              0.0007328,              0.0007328
                    131,                0.75984,                0.49461,                0.92701,                0.87179,                0.85005,                0.84301,                0.43535,                 1.5846,                 1.0099,                 1.4442,              0.0007229,              0.0007229,              0.0007229
                    132,                0.77357,                0.49112,                0.95738,                0.85696,                0.84252,                 0.8265,                 0.4356,                 1.6009,                0.98258,                 1.4413,               0.000713,               0.000713,               0.000713
                    133,                0.79013,                0.48233,                0.94796,                0.83843,                0.84375,                 0.8269,                0.43711,                 1.6448,                0.99448,                  1.455,              0.0007031,              0.0007031,              0.0007031
                    134,                0.78331,                0.46888,                0.92457,                0.83588,                0.79579,                0.78172,                0.41849,                 1.6552,                0.98608,                 1.4636,              0.0006932,              0.0006932,              0.0006932
                    135,                 0.7228,                0.47152,                0.93889,                0.84015,                0.84375,                0.82295,                0.41718,                  1.602,                0.97789,                 1.4292,              0.0006833,              0.0006833,              0.0006833
                    136,                 0.7644,                0.49041,                0.96156,                0.85189,                0.80887,                0.82011,                0.43979,                 1.5711,                0.92814,                 1.4082,              0.0006734,              0.0006734,              0.0006734
                    137,                0.73986,                 0.4668,                0.92419,                 0.8549,                0.84375,                 0.8423,                0.44839,                 1.5495,                0.87533,                 1.4015,              0.0006635,              0.0006635,              0.0006635
                    138,                0.74223,                0.47341,                0.94278,                 0.8863,                0.85938,                0.85927,                0.47258,                 1.5431,                0.86847,                 1.3939,              0.0006536,              0.0006536,              0.0006536
                    139,                0.77257,                0.46263,                0.92523,                0.83366,                0.82812,                0.81172,                0.46336,                   1.55,                0.87452,                 1.4017,              0.0006437,              0.0006437,              0.0006437
                    140,                0.71706,                0.45572,                0.92842,                0.84319,                0.84023,                0.83547,                0.41805,                 1.6515,                0.91996,                  1.452,              0.0006338,              0.0006338,              0.0006338
                    141,                 0.7616,                0.47214,                0.91296,                0.86115,                0.82812,                0.85509,                0.42306,                 1.6246,                0.93885,                 1.4346,              0.0006239,              0.0006239,              0.0006239
                    142,                0.74358,                0.49233,                0.92419,                0.82965,                0.83711,                0.83055,                 0.4196,                  1.626,                0.98731,                 1.4213,               0.000614,               0.000614,               0.000614
                    143,                0.72462,                0.46236,                0.93278,                0.90216,                 0.8125,                 0.8592,                0.42738,                  1.639,                0.97287,                 1.4146,              0.0006041,              0.0006041,              0.0006041
                    144,                0.76013,                0.46446,                0.92762,                0.89966,                 0.8125,                0.85066,                0.44613,                  1.617,                 1.0207,                  1.416,              0.0005942,              0.0005942,              0.0005942
                    145,                0.72747,                0.45389,                0.91878,                0.89835,                0.78125,                0.82523,                0.45452,                 1.6058,                0.97128,                 1.4436,              0.0005843,              0.0005843,              0.0005843
